MDF_mark,MDF_Smoothed_Filtered_right_TA,MDF_Smoothed_Filtered_right_RF,MDF_Smoothed_Filtered_right_VM,MDF_Smoothed_Filtered_right_MG,MDF_Smoothed_Filtered_left_TA,MDF_Smoothed_Filtered_left_RF,MDF_Smoothed_Filtered_left_VM,MDF_Smoothed_Filtered_left_MG
0.0,32.0,24.0,32.0,28.0,28.0,20.0,24.0,44.0
0.0,24.0,28.0,28.0,24.0,36.0,28.0,20.0,68.0
0.0,28.0,28.0,60.0,28.0,28.0,16.0,24.0,28.0
0.0,24.0,32.0,60.0,24.0,24.0,60.0,24.0,28.0
0.0,24.0,24.0,24.0,20.0,28.0,40.0,24.0,28.0
0.0,24.0,24.0,32.0,32.0,32.0,36.0,28.0,24.0
0.0,32.0,24.0,32.0,28.0,28.0,40.0,36.0,24.0
0.0,28.0,24.0,60.0,24.0,28.0,60.0,28.0,24.0
0.0,44.0,20.0,44.0,32.0,32.0,56.0,28.0,24.0
0.0,40.0,40.0,36.0,28.0,40.0,56.0,24.0,28.0
0.0,40.0,36.0,32.0,20.0,28.0,40.0,24.0,32.0
0.0,40.0,36.0,28.0,24.0,28.0,20.0,28.0,24.0
0.0,36.0,28.0,28.0,24.0,32.0,28.0,32.0,24.0
0.0,20.0,32.0,36.0,24.0,32.0,24.0,28.0,32.0
0.0,28.0,32.0,60.0,32.0,28.0,28.0,28.0,28.0
0.0,32.0,28.0,36.0,28.0,32.0,20.0,28.0,28.0
0.0,48.0,36.0,40.0,32.0,36.0,60.0,36.0,20.0
0.0,52.0,28.0,36.0,24.0,36.0,20.0,36.0,32.0
0.0,28.0,32.0,36.0,28.0,28.0,28.0,24.0,32.0
0.0,28.0,32.0,28.0,32.0,28.0,28.0,24.0,28.0
0.0,44.0,28.0,56.0,28.0,28.0,20.0,24.0,24.0
0.0,48.0,28.0,56.0,32.0,24.0,36.0,24.0,24.0
0.0,28.0,28.0,60.0,36.0,36.0,56.0,32.0,28.0
0.0,28.0,36.0,60.0,28.0,40.0,60.0,28.0,24.0
0.0,28.0,40.0,32.0,20.0,52.0,44.0,24.0,28.0
0.0,32.0,36.0,36.0,28.0,40.0,56.0,20.0,24.0
0.0,28.0,32.0,28.0,32.0,24.0,20.0,24.0,28.0
0.0,28.0,32.0,32.0,28.0,28.0,28.0,24.0,40.0
0.0,40.0,28.0,36.0,24.0,36.0,28.0,24.0,24.0
0.0,48.0,32.0,32.0,28.0,36.0,24.0,32.0,32.0
0.0,56.0,36.0,32.0,24.0,28.0,56.0,32.0,32.0
0.0,56.0,20.0,32.0,20.0,32.0,60.0,36.0,32.0
0.0,36.0,24.0,32.0,24.0,28.0,52.0,28.0,32.0
0.0,36.0,28.0,28.0,28.0,28.0,28.0,28.0,36.0
0.0,32.0,32.0,28.0,36.0,36.0,28.0,28.0,36.0
0.0,44.0,32.0,60.0,36.0,28.0,28.0,32.0,28.0
0.0,28.0,28.0,16.0,32.0,44.0,32.0,32.0,24.0
0.0,28.0,28.0,28.0,28.0,44.0,28.0,32.0,24.0
0.0,40.0,28.0,28.0,36.0,28.0,28.0,24.0,24.0
0.0,36.0,28.0,32.0,24.0,24.0,28.0,24.0,24.0
0.0,24.0,32.0,32.0,32.0,24.0,24.0,28.0,28.0
0.0,24.0,32.0,28.0,36.0,32.0,24.0,28.0,24.0
0.0,24.0,36.0,28.0,36.0,32.0,32.0,40.0,24.0
0.0,44.0,28.0,56.0,24.0,28.0,36.0,32.0,28.0
0.0,52.0,28.0,56.0,28.0,24.0,40.0,36.0,32.0
0.0,40.0,24.0,32.0,28.0,40.0,32.0,32.0,40.0
0.0,44.0,24.0,32.0,28.0,40.0,32.0,36.0,44.0
0.0,24.0,28.0,20.0,28.0,40.0,28.0,32.0,44.0
0.0,24.0,28.0,32.0,28.0,32.0,28.0,28.0,36.0
0.0,24.0,24.0,32.0,36.0,28.0,28.0,32.0,44.0
0.0,24.0,28.0,24.0,40.0,24.0,44.0,20.0,44.0
0.0,24.0,28.0,28.0,20.0,24.0,52.0,24.0,28.0
0.0,24.0,36.0,28.0,28.0,32.0,60.0,32.0,24.0
0.0,40.0,40.0,28.0,36.0,28.0,20.0,32.0,28.0
0.0,32.0,36.0,28.0,24.0,28.0,24.0,28.0,24.0
0.0,32.0,40.0,32.0,20.0,24.0,24.0,28.0,28.0
0.0,24.0,40.0,28.0,24.0,40.0,24.0,28.0,36.0
0.0,52.0,40.0,32.0,24.0,40.0,20.0,24.0,32.0
0.0,60.0,48.0,32.0,24.0,40.0,60.0,28.0,28.0
